Goal,Sample,Name,Matrix,EG_group,EG_block,Florinated,Flor_block,GP_conc_tar,GP_conc_act,CP,CP_conc_tar,CP_conc_act,Solvent,Tot_conc_tar,Tot_conc_act,Highq_trim,lowq_trim,Filename,,Highq_trim,lowq_trim
Control,933,DEG50F25b_10_dTol,DEG50F25b,DEG,50,F,25b,10,12.54,none,0,0,dTol,10,12.54,100,24,D50F25b_10dTol.sub,,110,35
Sample,966,DEG50F25_1_dTHF50,DEG50F25,DEG,50,F,25,1,0.51,none,0,0,dTHF50,1,0,115,5,D50F25_1dTHF50.sub,,125,5
Control,900,DEG50F25_10_dCF,DEG50F25,DEG,50,F,25,10,11.84,none,0,0,dCF,10,11.84,100,10,D50F25_10dCF.sub,,130,20
Control,903,DEG50F25_10_dTHF,DEG50F25,DEG,50,F,25,10,11.41,none,0,0,dTHF,10,11.41,100,15,D50F25_10dTHF.sub,,100,20
Sample,125,DEG50F25_10_dTHF75,DEG50F25,DEG,50,F,25,10,8.68,none,0,0,dTHF75,,,100,5,D50F25_10dTHF75.sub,,100,8
Control,930,DEG50F25_10_dTol,DEG50F25,DEG,50,F,25,10,11.13,none,0,0,dTol,10,11.13,100,24,D50F25_10dTol.sub,,110,25
Sample,960,DEG50F25_5_dTHF50,DEG50F25,DEG,50,F,25,5,5.16,none,0,0,dTHF50,5,0,100,5,D50F25_5dTHF50.sub,,120,5
Sample,969,DEG50F25b_1_dTHF50,DEG50F25b,DEG,50,F,25b,1,0.89,none,0,0,dTHF50,1,0,115,5,D50F25b_1dTHF50.sub,,125,5
Control,952,DEG50F25b_10_dCF,DEG50F25b,DEG,50,F,25b,10,10.8,none,0,0,dCF,10,10.8,100,30,D50F25b_10dCF.sub,,130,30
Sample,133,DEG50F25b_10_dTHF,DEG50F25b,DEG,50,F,25b,10,,none,0,0,dTHF,,,100,25,D50F25b_10dTHF.sub,,100,20
Sample,132,DEG50F25b_10_dTHF75,DEG50F25b,DEG,50,F,25b,10,9.21,none,0,0,dTHF75,,,100,5,D50F25b_10dTHF75.sub,,100,8
Sample,963,DEG50F25b_5_dTHF50,DEG50F25b,DEG,50,F,25b,5,4.95,none,0,0,dTHF50,5,0,100,5,D50F25b_5dTHF50.sub,,120,5
Sample,990,DEG50F50_5_dTHF,DEG50F50,DEG,50,F,50,5,,none,0,0,dTHF,5,0,100,5,D50F50_5dTHF.sub,,85,20
Sample,967,DEG50F50_1_dTHF50,DEG50F50,DEG,50,F,50,1,0.65,none,0,0,dTHF50,1,0,115,5,D50F50_1dTHF50_flare.sub,,125,5
Control,901,DEG50F50_10_dCF,DEG50F50,DEG,50,F,50,10,11.74,none,0,0,dCF,10,11.74,100,5,D50F50_10dCF.sub,,130,15
Control,904,DEG50F50_10_dTHF,DEG50F50,DEG,50,F,50,10,11.69,none,0,0,dTHF,10,11.69,100,15,D50F50_10dTHF.sub,,70,10
Sample,127,DEG50F50_10_dTHF75,DEG50F50,DEG,50,F,50,10,8.31,none,0,0,dTHF75,,,100,5,D50F50_10dTHF75.sub,,100,8
Control,931,DEG50F50_10_dTol,DEG50F50,DEG,50,F,50,10,10.78,none,0,0,dTol,10,10.78,100,24,D50F50_10dTol.sub,,110,35
Sample,961,DEG50F50_5_dTHF50,DEG50F50,DEG,50,F,50,5,5.19,none,0,0,dTHF50,5,0,100,5,D50F50_5dTHF50.sub,,120,5
Sample,968,DEG50F75_1_dTHF50,DEG50F75,DEG,50,F,75,1,0.73,none,0,0,dTHF50,1,0,115,5,D50F75_1dTHF50.sub,,125,5
Control,902,DEG50F75_10_dCF,DEG50F75,DEG,50,F,75,10,10.32,none,0,0,dCF,10,10.32,100,5,D50F75_10dCF.sub,,130,5
Control,905,DEG50F75_10_dTHF,DEG50F75,DEG,50,F,75,10,13.66,none,0,0,dTHF,10,13.66,100,15,D50F75_10dTHF.sub,,100,10
Sample,129,DEG50F75_10_dTHF75,DEG50F75,DEG,50,F,75,10,8.43,none,0,0,dTHF75,,,100,5,D50F75_10dTHF75.sub,,100,8
Control,932,DEG50F75_10_dTol,DEG50F75,DEG,50,F,75,10,9.8,none,0,0,dTol,10,9.8,100,7,D50F75_10dTol.sub,,110,35
Sample,962,DEG50F75_5_dTHF50,DEG50F75,DEG,50,F,75,5,4.83,none,0,0,dTHF50,5,0,100,5,D50F75_5dTHF50.sub,,120,5
Control,113,dTHF50,none,,,,,0,0,none,0,,dTHF50,0,0,100,5,dTHF50.sub,,100,5
Control,120,dTHF25,none,,,,,0,0,none,0,,dTHF25,0,0,100,5,dTHF25.sub,,100,5
Control,121,dTHF75,none,,,,,0,0,none,0,,dTHF75,0,0,100,5,dTHF75.sub,,100,5
Control,1,dTHF,none,,,,,0,0,none,0,,dTHF,0,0,100,5,dTHF.sub,,100,15
Control,2,hTHF,none,,,,,0,0,none,0,,hTHF,0,0,100,5,hTHF.sub,,100,5
Control,3,dCF,none,,,,,0,0,none,0,,dCF,0,0,100,5,dCF.sub.txt,,130,5
Control,4,dTol,none,,,,,0,0,none,0,,dTol,0,0,100,5,dTol.sub,,100,5
Sample,910,P3HT_10_DEG50F25_10_dCF,DEG50F25,DEG,50,F,25,10,10.63,RRe-P3HT,10,11.83,dCF,20,22.46,100,5,P3HT10D50F25_10dCF.sub,,130,2
Sample,913,P3HT_10_DEG50F25_10_dTHF,DEG50F25,DEG,50,F,25,10,9.9,RRe-P3HT,10,11.9,dTHF,20,21.8,100,5,P3HT10D50F25_10dTHF.sub,,100,20
Sample,936,P3HT_10_DEG50F25_10_dTol,DEG50F25,DEG,50,F,25,10,9.53,RRe-P3HT,10,9.79,dTol,20,19.32,100,5,P3HT10D50F25_10dTol.sub,,100,30
Sample,979,P3HT_10_DEG50F25b_1_dTHF,DEG50F25b,DEG,50,F,25b,1,0.42,RRe-P3HT,10,11.51,dTHF,11,11.93,100,26,P3HT10D50F25b_1dTHF.sub,,100,38
Sample,995,P3HT_10_DEG50F25b_1_dTol,DEG50F25b,DEG,50,F,25b,1,1.47,RRe-P3HT,10,10.41,dTol,11,11.88,100,33,P3HT10D50F25b_1dTol.sub,,100,38
Sample,955,P3HT_10_DEG50F25b_10_dCF,DEG50F25b,DEG,50,F,25b,10,14.82,RRe-P3HT,10,10.68,dCF,20,25.5,100,5,P3HT10D50F25b_10dCF.sub,,130,2
Sample,958,P3HT_10_DEG50F25b_10_dTHF,DEG50F25b,DEG,50,F,25b,10,6.87,RRe-P3HT,10,10.7,dTHF,20,17.57,100,5,P3HT10D50F25b_10dTHF.sub,,100,28
Sample,939,P3HT_10_DEG50F25b_10_dTol,DEG50F25b,DEG,50,F,25b,10,10.13,RRe-P3HT,10,9.69,dTol,20,19.82,100,5,P3HT10D50F25b_10dTol.sub,,100,30
Sample,975,P3HT_10_DEG50F25b_5_dTHF,DEG50F25b,DEG,50,F,25b,5,4.47,RRe-P3HT,10,11.78,dTHF,15,16.25,100,15,P3HT10D50F25b_5dTHF.sub,,100,38
Sample,991,P3HT_10_DEG50F25b_5_dTol,DEG50F25b,DEG,50,F,25b,5,4.42,RRe-P3HT,10,10.36,dTol,15,14.78,100,5,P3HT10D50F25b_5dTol.sub,,100,30
Sample,978,P3HT_10_DEG50F50_1_dTHF,DEG50F50,DEG,50,F,50,1,0.7,RRe-P3HT,10,10.84,dTHF,11,11.54,100,26,P3HT10D50F50_1dTHF.sub,,100,38
Sample,996,P3HT_10_DEG50F50_1_dTol,DEG50F50,DEG,50,F,50,1,1.57,RRe-P3HT,10,10.43,dTol,11,12,100,33,P3HT10D50F50_1dTol.sub,,100,38
Sample,911,P3HT_10_DEG50F50_10_dCF,DEG50F50,DEG,50,F,50,10,8.39,RRe-P3HT,10,13.25,dCF,20,21.64,100,5,P3HT10D50F50_10dCF.sub,,130,2
Sample,916,P3HT_10_DEG50F50_10_dTHF,DEG50F50,DEG,50,F,50,10,10.86,RRe-P3HT,10,10.23,dTHF,20,21.09,100,5,P3HT10D50F50_10dTHF.sub,,100,25
Sample,937,P3HT_10_DEG50F50_10_dTol,DEG50F50,DEG,50,F,50,10,10.49,RRe-P3HT,10,9.88,dTol,20,20.37,100,5,P3HT10D50F50_10dTol.sub,,100,30
Sample,917,P3HT_10_DEG50F50_10_hTHF,DEG50F50,DEG,50,F,50,10,12.78,RRe-P3HT,10,10.1,hTHF,20,22.88,100,5,P3HT10D50F50_10hTHF.sub,,100,5
Sample,974,P3HT_10_DEG50F50_5_dTHF,DEG50F50,DEG,50,F,50,5,4.14,RRe-P3HT,10,11.6,dTHF,15,15.74,100,15,P3HT10D50F50_5dTHF.sub,,100,38
Sample,992,P3HT_10_DEG50F50_5_dTol,DEG50F50,DEG,50,F,50,5,4.68,RRe-P3HT,10,10.38,dTol,15,15.06,100,5,P3HT10D50F50_5dTol.sub,,100,30
Sample,912,P3HT_10_DEG50F75_10_dCF,DEG50F75,DEG,50,F,75,10,9.69,RRe-P3HT,10,11.19,dCF,20,20.88,100,5,P3HT10D50F75_10dCF.sub,,130,2
Sample,915,P3HT_10_DEG50F75_10_dTHF,DEG50F75,DEG,50,F,75,10,12.98,RRe-P3HT,10,10.37,dTHF,20,23.35,100,5,P3HT10D50F75_10dTHF.sub,,100,10
Sample,938,P3HT_10_DEG50F75_10_dTol,DEG50F75,DEG,50,F,75,10,10.4,RRe-P3HT,10,9.47,dTol,20,19.87,100,5,P3HT10D50F75_10dTol.sub,,100,30
Control,906,P3HT_10_dTHF,none,,,,,0,0,RRe-P3HT,10,,dTHF,10,0,100,25,P3HT10_dTHF.sub,,100,45
Control,942,P3HT_10_dTol,none,,,,,0,0,RRe-P3HT,10,10.4,dTol,10,10.4,100,13,P3HT10_dTol.sub,,100,20
Control,821,P3HT_10_dCF,none,,0,,,0,0,RRe-P3HT,10,10,dCF,10,,100,5,P3HT10_dCF.sub,,130,5
Sample,980,P3HT_10_PEG50F25_1_dTHF,PEG50F25,PEG,50,F,25,1,1.04,RRe-P3HT,10,10.57,dTHF,11,11.61,100,26,P3HT10P50F25_1dTHF.sub,,100,38
Sample,997,P3HT_10_PEG50F25_1_dTol,PEG50F25,PEG,50,F,25,1,1.88,RRe-P3HT,10,10.4,dTol,11,12.28,100,33,P3HT10P50F25_1dTol.sub,,100,38
Sample,953,P3HT_10_PEG50F25_10_dCF,PEG50F25,PEG,50,F,25,10,14.78,RRe-P3HT,10,11.24,dCF,20,26.02,100,5,P3HT10P50F25_10dCF.sub,,130,2
Sample,956,P3HT_10_PEG50F25_10_dTHF,PEG50F25,PEG,50,F,25,10,8.68,RRe-P3HT,10,11.91,dTHF,20,20.59,100,5,P3HT10P50F25_10dTHF.sub,,100,28
Sample,940,P3HT_10_PEG50F25_10_dTol,PEG50F25,PEG,50,F,25,10,12.33,RRe-P3HT,10,9.87,dTol,20,22.2,100,5,P3HT10P50F25_10dTol.sub,,100,30
Sample,976,P3HT_10_PEG50F25_5_dTHF,PEG50F25,PEG,50,F,25,5,4.79,RRe-P3HT,10,11.49,dTHF,15,16.28,100,15,P3HT10P50F25_5dTHF.sub,,100,38
Sample,993,P3HT_10_PEG50F25_5_dTol,PEG50F25,PEG,50,F,25,5,5.78,RRe-P3HT,10,10.18,dTol,15,15.96,100,5,P3HT10P50F25_5dTol.sub,,100,33
Sample,981,P3HT_10_PEG50F50_1_dTHF,PEG50F50,PEG,50,F,50,1,0.3,RRe-P3HT,10,10.93,dTHF,11,11.23,100,26,P3HT10P50F50_1dTHF.sub,,100,38
Sample,998,P3HT_10_PEG50F50_1_dTol,PEG50F50,PEG,50,F,50,1,2.06,RRe-P3HT,10,10.14,dTol,11,12.2,100,33,P3HT10P50F50_1dTol.sub,,100,38
Sample,954,P3HT_10_PEG50F50_10_dCF,PEG50F50,PEG,50,F,50,10,13.39,RRe-P3HT,10,11.27,dCF,20,24.66,100,5,P3HT10P50F50_10dCF.sub,,130,2
Sample,957,P3HT_10_PEG50F50_10_dTHF,PEG50F50,PEG,50,F,50,10,9.81,RRe-P3HT,10,10.13,dTHF,20,19.94,100,5,P3HT10P50F50_10dTHF.sub,,100,28
Sample,941,P3HT_10_PEG50F50_10_dTol,PEG50F50,PEG,50,F,50,10,12.21,RRe-P3HT,10,9.26,dTol,20,21.47,100,5,P3HT10P50F50_10dTol.sub,,100,30
Sample,977,P3HT_10_PEG50F50_5_dTHF,PEG50F50,PEG,50,F,50,5,4.53,RRe-P3HT,10,11.56,dTHF,15,16.09,100,15,P3HT10P50F50_5dTHF.sub,,100,38
Sample,994,P3HT_10_PEG50F50_5_dTol,PEG50F50,PEG,50,F,50,5,5.84,RRe-P3HT,10,10.12,dTol,15,15.96,100,5,P3HT10P50F50_5dTol.sub,,100,33
Sample,982,P3HT_2.5_DEG50F25b_2.5_dTHF,DEG50F25b,DEG,50,F,25b,2.5,2.61,RRe-P3HT,2.5,3.23,dTHF,5,5.84,100,25,P3HT_2p5D50F25b_2p5dTHF.s,,100,33
Sample,983,P3HT_2.5_DEG50F50_2.5_dTHF,DEG50F50,DEG,50,F,50,2.5,3.63,RRe-P3HT,2.5,3.12,dTHF,5,6.75,100,25,P3HT_2p5D50F50_2p5dTHF.su,,100,30
Sample,984,P3HT_2.5_PEG50F25_2.5_dTHF,PEG50F25,PEG,50,F,25,2.5,3.24,RRe-P3HT,2.5,2.3,dTHF,5,5.54,100,25,P3HT2p5P50F25_2p5dTHF.sub,,100,33
Sample,985,P3HT_2.5_PEG50F50_2.5_dTHF,PEG50F50,PEG,50,F,50,2.5,3.07,RRe-P3HT,2.5,2.39,dTHF,5,5.46,100,25,P3HT2p5P50F50_2p5dTHF.sub,,100,33
Sample,114,DEG50F25_10_dTHF50,DEG50F25,DEG,50,F,25,10,10.1,none,0,,dTHF50,,,100,5,D50F25_10dTHF50.sub,,120,0
Sample,116,DEG50F50_10_dTHF50,DEG50F50,DEG,50,F,50,10,9.8,none,0,,dTHF50,,,100,5,D50F50_10dTHF50.sub,,120,0
Sample,118,DEG50F75_10_dTHF50,DEG50F75,DEG,50,F,75,10,10.1,none,0,,dTHF50,,,100,5,D50F75_10dTHF50.sub,,120,0
Sample,115,P3K4T_10_DEG50F25_10_dTHF50,DEG50F25,DEG,50,F,25,10,10.1,P3K4T,10,10.2,dTHF50,,,100,5,P3K4T10D50F25_10dTHF50.su,,100,0
Sample,119,P3K4T_10_DEG50F75_10_dTHF50,DEG50F75,DEG,50,F,75,10,9.8,P3K4T,10,10.2,dTHF50,,,100,5,P3K4T10D50F75_10dTHF50.su,,100,5
Sample,123,P3K4T_10_dTHF0,none,,,,,0,0,P3K4T,10,,dTHF0,,,100,5,P3K4T_10_D2O.sub,,100,40
Control,122,P3K4T_10_dTHF50,none,,,,,0,0,P3K4T,10,,dTHF50,,,100,5,P3K4T_10dTHF50.sub,,100,5
Sample,151,P3K6T_10_DEG50F50_10_dTHF50,DEG50F50,DEG,50,F,50,10,10.1,P3K6T,10,10.2,dTHF50,,,100,5,P3K6T10D50F50_10dTHF50.su,,100,5
Sample,148,P3K5T_10_dTHF0,none,,,,,0,0,P3K5T,10,,dTHF0,,,100,5,P3K5T_10_dTHF0.sub,,100,5
Sample,149,P3K6T_10_dTHF0,none,,,,,0,0,P3K6T,10,,dTHF0,,,100,5,P3K6T_10_dTHF0.sub,,100,40
Sample,150,P3K7T_10_dTHF0,none,,,,,0,0,P3K7T,10,,dTHF0,,,100,5,P3K7T_10_dTHF0.sub,,100,5
Sample,970,PEG50F25_1_dTHF50,PEG50F25,PEG,50,F,25,1,0.83,none,0,0,dTHF50,1,0,115,24,P50F25_1dTHF50.sub,,125,25
Control,950,PEG50F25_10_dCF,PEG50F25,PEG,50,F,25,10,8.5,none,0,0,dCF,10,8.5,100,15,P50F25_10dCF.sub,,130,15
Sample,137,PEG50F25_10_dTHF,PEG50F25,PEG,50,F,25,10,,none,0,0,dTHF,,,100,25,P50F25_10dTHF.sub,,100,20
Sample,134,PEG50F25_10_dTHF25,PEG50F25,PEG,50,F,25,10,9.37,none,0,0,dTHF25,,,100,15,P50F25_10dTHF25.sub,,100,20
Sample,135,PEG50F25_10_dTHF50,PEG50F25,PEG,50,F,25,10,9.99,none,0,0,dTHF50,,,100,24,P50F25_10dTHF50.sub,,120,20
Sample,136,PEG50F25_10_dTHF75,PEG50F25,PEG,50,F,25,10,8.63,none,0,0,dTHF75,,,100,20,P50F25_10dTHF75.sub,,110,8
Control,934,PEG50F25_10_dTol,PEG50F25,PEG,50,F,25,10,11.49,none,0,0,dTol,10,11.49,100,5,P50F25_10dTol.sub,,100,5
Sample,964,PEG50F25_5_dTHF50,PEG50F25,PEG,50,F,25,5,4.86,none,0,0,dTHF50,5,0,100,20,P50F25_5dTHF50.sub,,120,20
Sample,971,PEG50F50_1_dTHF50,PEG50F50,PEG,50,F,50,1,0.79,none,0,0,dTHF50,1,0,115,24,P50F50_1dTHF50.sub,,125,25
Control,951,PEG50F50_10_dCF,PEG50F50,PEG,50,F,50,10,6.53,none,0,0,dCF,10,6.53,100,15,P50F50_10dCF.sub,,130,15
Sample,141,PEG50F50_10_dTHF,PEG50F50,PEG,50,F,50,10,,none,0,0,dTHF,,,100,25,P50F50_10dTHF.sub,,100,20
Sample,138,PEG50F50_10_dTHF25,PEG50F50,PEG,50,F,50,10,8.95,none,0,0,dTHF25,,,100,15,P50F50_10dTHF25.sub,,100,20
Sample,139,PEG50F50_10_dTHF50,PEG50F50,PEG,50,F,50,10,9.94,none,0,0,dTHF50,,,100,24,P50F50_10dTHF50.sub,,120,20
Sample,140,PEG50F50_10_dTHF75,PEG50F50,PEG,50,F,50,10,9,none,0,0,dTHF75,,,100,20,P50F50_10dTHF75.sub,,110,8
Control,935,PEG50F50_10_dTol,PEG50F50,PEG,50,F,50,10,10.17,none,0,0,dTol,10,10.17,100,5,P50F50_10dTol.sub,,100,5
Sample,965,PEG50F50_5_dTHF50,PEG50F50,PEG,50,F,50,5,4.74,none,0,0,dTHF50,5,0,100,20,P50F50_5dTHF50.sub,,120,20
Sample,921,RRa_10_DEG50F25_10_dTHF,DEG50F25,DEG,50,F,25,10,9.04,RRa-P3HT,10,14.42,dTHF,20,23.46,100,25,raP3HT10D50F25_10dTHF.sub,,100,20
Sample,924,RRa_10_DEG50F25b_10_dTHF,DEG50F25b,DEG,50,F,25b,10,9.31,RRa-P3HT,10,13.56,dTHF,20,22.87,100,25,raP3HT10D50F25b_10dTHF.sub,,100,20
Sample,922,RRa_10_DEG50F50_10_dTHF,DEG50F50,DEG,50,F,50,10,9.89,RRa-P3HT,10,13.72,dTHF,20,23.61,100,26,raP3HT10D50F50_10dTHF.sub,,100,20
Sample,923,RRa_10_DEG50F75_10_dTHF,DEG50F75,DEG,50,F,75,10,10.26,RRa-P3HT,10,12.37,dTHF,20,22.63,100,26,raP3HT10D50F75_10dTHF.sub,,100,20
Control,920,RRa_10_dTHF,none,,,,,0,0,RRa-P3HT,10,,dTHF,10,0,100,25,raP3HT_10dTHF.sub,,100,20
Sample,925,RRa_10_PEG50F25_10_dTHF,PEG50F25,PEG,50,F,25,10,9.25,RRa-P3HT,10,14.96,dTHF,20,24.21,100,25,raP3HT10P50F25_10dTHF.sub,,100,20
Sample,926,RRa_10_PEG50F50_10_dTHF,PEG50F50,PEG,50,F,50,10,10.23,RRa-P3HT,10,12.76,dTHF,20,22.99,100,25,raP3HT10P50F50_10dTHF.sub,,100,20
